DATE,ENERGY,T2M,RH2M,CDD10,HDD18_3,ALLSKY,HOLIDAY,dayofweek,is_weekend,month,lag_1,lag_7
2016-01-08,4799.05,10.13,90.28000000000002,3.3600000000000003,195.84,0.96,0,4,0,1,4760.554,2639.858
2016-01-09,2914.316,6.27,91.15000000000002,0.0,309.84000000000003,1.34,1,5,1,1,4799.05,2750.866
2016-01-10,2960.565,8.81,87.08999999999999,0.0,230.39999999999998,1.01,1,6,1,1,2914.316,2729.562
2016-01-11,5105.393,5.53,82.84,0.0,283.68,2.05,0,0,0,1,2960.565,3216.653
2016-01-12,4699.891,3.31,87.71,0.0,358.79999999999995,1.89,0,1,0,1,5105.393,3112.78
2016-01-13,5501.409,4.33,83.55,0.0,332.15999999999997,1.64,0,2,0,1,4699.891,2833.189
2016-01-14,5219.941,5.25,90.23,0.0,305.52,0.89,0,3,0,1,5501.409,4760.554
2016-01-15,4975.019,1.72,84.0,0.0,392.40000000000003,2.01,0,4,0,1,5219.941,4799.05
2016-01-16,3043.008,0.15,81.41,0.0,402.48,2.61,1,5,1,1,4975.019,2914.316
2016-01-17,3108.9030000000002,1.24,74.47,0.0,385.68,2.09,1,6,1,1,3043.008,2960.565
2016-01-18,5453.053,3.14,88.81,0.0,350.4,1.66,0,0,0,1,3108.9030000000002,5105.393
2016-01-19,5466.32,2.03,84.45,0.0,378.0,1.72,0,1,0,1,5453.053,4699.891
2016-01-20,5592.066,2.12,93.84999999999998,0.0,386.15999999999997,1.6499999999999997,0,2,0,1,5466.32,5501.409
2016-01-21,5397.1990000000005,5.27,95.17,0.0,293.28000000000003,1.17,0,3,0,1,5592.066,5219.941
2016-01-22,5010.7519999999995,7.79,98.88,0.0,231.12,0.71,0,4,0,1,5397.1990000000005,4975.019
2016-01-23,2841.759,10.04,88.54,26.160000000000004,173.04,1.72,1,5,1,1,5010.7519999999995,3043.008
2016-01-24,2906.972,9.47,89.69,38.160000000000004,161.04,2.75,1,6,1,1,2841.759,3108.9030000000002
2016-01-25,5446.933,8.49,85.83999999999999,6.48,192.71999999999997,1.6499999999999997,1,0,0,1,2906.972,5453.053
2016-01-26,5408.586,7.04,88.79,0.0,240.24,2.43,1,1,0,1,5446.933,5466.32
2016-01-27,5629.526,6.14,86.53000000000002,0.0,251.28000000000003,1.42,1,2,0,1,5408.586,5592.066
2016-01-28,5689.4039999999995,4.79,92.32,0.0,320.64,0.79,1,3,0,1,5629.526,5397.1990000000005
2016-01-29,3250.214,5.61,79.38,0.0,289.68,1.53,1,4,0,1,5689.4039999999995,5010.7519999999995
2016-01-30,3155.163,3.48,89.83,0.0,365.28000000000003,2.08,1,5,1,1,3250.214,2841.759
2016-01-31,3108.552,7.7,92.32,0.0,228.0,1.4400000000000002,1,6,1,1,3155.163,2906.972
2016-02-01,5587.112,8.2,86.17,0.0,230.16,2.15,0,0,0,2,3108.552,5446.933
2016-02-02,5515.9529999999995,7.02,84.79,0.0,238.07999999999998,1.01,0,1,0,2,5587.112,5408.586
2016-02-03,5473.013,4.75,78.75,0.0,309.84000000000003,2.62,0,2,0,2,5515.9529999999995,5629.526
2016-02-04,5429.716,3.75,74.29,0.0,314.4,3.35,0,3,0,2,5473.013,5689.4039999999995
2016-02-05,5235.056,4.33,74.47,0.0,301.92,3.14,0,4,0,2,5429.716,3250.214
2016-02-06,3115.25,5.34,83.67,0.0,294.0,2.24,1,5,1,2,5235.056,3155.163
2016-02-07,3060.39,4.05,84.21,0.0,336.24,2.67,1,6,1,2,3115.25,3108.552
2016-02-08,5513.267,7.93,88.83999999999999,0.0,238.56,1.82,0,0,0,2,3060.39,5587.112
2016-02-09,5429.101,7.82,89.40000000000002,0.0,247.92000000000002,0.7600000000000001,0,1,0,2,5513.267,5515.9529999999995
2016-02-10,5402.6630000000005,8.26,90.08,0.0,218.16,1.96,0,2,0,2,5429.101,5473.013
2016-02-11,5335.407,8.99,84.2,3.3600000000000003,195.84,2.78,0,3,0,2,5402.6630000000005,5429.716
2016-02-12,5007.01,10.33,90.84999999999998,2.88,196.32,0.7600000000000001,0,4,0,2,5335.407,5235.056
2016-02-13,2919.877,10.9,86.90000000000002,30.240000000000002,168.96,1.58,1,5,1,2,5007.01,3115.25
2016-02-14,2965.699,3.8800000000000003,79.02,0.0,340.56,2.51,1,6,1,2,2919.877,3060.39
2016-02-15,5564.637,2.1,78.19,0.0,396.48,2.7000000000000006,0,0,0,2,2965.699,5513.267
2016-02-16,5924.6269999999995,0.0,74.94,0.0,421.91999999999996,2.78,0,1,0,2,5564.637,5429.101
2016-02-17,6566.08,0.02,82.09,0.0,424.32,3.7900000000000005,0,2,0,2,5924.6269999999995,5402.6630000000005
2016-02-18,6182.053,1.97,80.19,0.0,389.52,2.29,0,3,0,2,6566.08,5335.407
2016-02-19,5470.709,2.23,64.02,0.0,367.20000000000005,4.19,0,4,0,2,6182.053,5007.01
2016-02-20,3043.238,5.33,59.94,0.0,287.52,4.15,1,5,1,2,5470.709,2919.877
2016-02-21,3028.985,4.98,61.28,0.0,294.0,3.89,1,6,1,2,3043.238,2965.699
2016-02-22,5402.405,5.3,72.06,0.0,280.56,3.97,0,0,0,2,3028.985,5564.637
2016-02-23,5395.467,5.37,86.41000000000001,0.0,270.48,4.18,0,1,0,2,5402.405,5924.6269999999995
2016-02-24,5512.465,5.25,89.32,0.0,296.88,2.86,0,2,0,2,5395.467,6566.08
2016-02-25,5521.558,5.06,81.94,0.0,298.56,2.37,0,3,0,2,5512.465,6182.053
2016-02-26,5301.888,3.7999999999999994,90.86,0.0,337.92,1.14,0,4,0,2,5521.558,5470.709
2016-02-27,2973.405,2.2,74.31,0.0,383.04,2.6,1,5,1,2,5301.888,3043.238
2016-02-28,2921.556,3.57,78.7,0.0,348.96,1.97,1,6,1,2,2973.405,3028.985
2016-02-29,5485.961,2.29,73.17,0.0,347.28000000000003,4.28,0,0,0,2,2921.556,5402.405
2016-03-01,5642.495,3.8800000000000003,71.56,0.0,320.15999999999997,4.33,0,1,0,3,5485.961,5395.467
2016-03-02,5533.162,5.61,83.52,0.0,263.28000000000003,4.25,0,2,0,3,5642.495,5512.465
2016-03-03,5307.498,4.77,77.67,0.0,302.88,4.62,0,3,0,3,5533.162,5521.558
2016-03-04,5133.146,4.16,88.39,0.0,311.04,2.33,0,4,0,3,5307.498,5301.888
2016-03-05,3100.608,2.49,78.18,0.0,361.68,3.49,1,5,1,3,5133.146,2973.405
2016-03-06,3021.363,2.94,77.34,0.0,357.84000000000003,3.43,1,6,1,3,3100.608,2921.556
2016-03-07,5295.39,3.58,79.75,0.0,344.64,3.18,0,0,0,3,3021.363,5485.961
2016-03-08,5702.643,3.1199999999999997,75.76,0.0,349.68,3.41,0,1,0,3,5295.39,5642.495
2016-03-09,5764.795,3.68,80.53,0.0,318.96,2.38,0,2,0,3,5702.643,5533.162
2016-03-10,5752.2210000000005,3.65,74.62,0.0,334.08,3.24,0,3,0,3,5764.795,5307.498
2016-03-11,5317.358,3.83,74.79,0.0,318.96,2.5,0,4,0,3,5752.2210000000005,5133.146
2016-03-12,3152.395,3.91,71.1,0.0,312.71999999999997,4.88,1,5,1,3,5317.358,3100.608
2016-03-13,3184.724,3.9,66.86,0.0,315.84000000000003,5.400000000000001,1,6,1,3,3152.395,3021.363
2016-03-14,5410.941,3.08,68.75,0.0,352.56,4.62,0,0,0,3,3184.724,5295.39
2016-03-15,5712.989,3.73,62.4,0.0,338.4,4.65,0,1,0,3,5410.941,5702.643
2016-03-16,5521.102,5.2,63.47,0.0,286.56,5.3,0,2,0,3,5712.989,5764.795
2016-03-17,5476.532,5.14,69.64,0.0,306.24,4.44,0,3,0,3,5521.102,5752.2210000000005
2016-03-18,5260.9220000000005,5.31,80.77,0.0,322.79999999999995,2.77,0,4,0,3,5476.532,5317.358
2016-03-19,2907.464,6.02,85.15,0.0,279.6,2.35,1,5,1,3,5260.9220000000005,3152.395
